,FLH_electrolyzer,PV,Wind
0,6297.659063625451,0.0,171.49717029669011
1,5835.2605140186915,0.0,166.88918558077438
2,6136.135770234987,0.0,186.4975755315181
3,6136.135770234987,0.0,186.4975755315181
4,6395.459354838709,0.0,184.33179723502303
5,6395.459354838709,0.0,184.33179723502303
6,5482.26873385013,0.0,184.56995201181252
7,4721.676812967652,140.2323330497704,160.84284885823803
8,5007.56431943988,161.19580864471976,164.4990014448164
9,4771.093346707605,171.25591750357813,162.51837069217098
10,2774.2805970149257,213.21961620469082,0.0
11,4382.375236948999,182.6817683595179,144.7126165044022
12,4382.375236948999,182.6817683595179,144.7126165044022
13,4029.2994526315792,168.72951609793716,125.85309427414693
14,4962.185258491342,166.87988569612372,180.1477211313277
15,4739.969917679473,144.59640635783282,176.5848490199541
16,4208.209558313049,168.60443698869648,145.32771399505887
17,4646.6541664049355,152.5516506985969,162.52234682268812
18,4660.857924920932,149.11035532550102,166.30633627141196
19,4660.857924920932,149.11035532550102,166.30633627141196
20,4891.985507246376,0.0,172.53278122843344
21,4796.988962883998,102.49040093434189,171.39637670375816
22,4796.988962883998,102.49040093434189,171.39637670375816
23,4622.3487679409745,162.2884622938815,156.84061638648964
24,4749.327231522068,150.55371629338487,165.0051475135235
25,5164.284960422163,0.0,188.46588767433093
26,3467.776822276096,182.15983803735568,66.88483621955758
27,3467.776822276096,182.15983803735568,66.88483621955758
28,4991.259981352797,146.9299751717479,164.20361247947451
29,5628.193749722737,116.02392822896306,173.79214459506437
30,5628.193749722737,116.02392822896306,173.79214459506437
31,6250.908045977012,0.0,182.4484583105273
32,6321.967664670659,0.0,171.08639863130884
33,6201.989104116222,0.0,172.9505361466621
34,6466.445229681977,0.0,168.2651859330305
35,6556.13185530922,0.0,166.6944490748459
36,6522.47435897436,0.0,166.50016650016653
37,6600.810126582278,0.0,164.39256945586058
38,6186.424858757063,0.0,161.42050040355127
39,6319.057174887892,0.0,160.15374759769378
40,4733.740684376718,149.4210465563405,161.4597090750978
41,4733.740684376718,149.4210465563405,161.4597090750978
42,4991.432829726418,88.95759202006637,180.83182640144665
43,4698.935950006971,146.32031227257158,165.72754391779912
44,4612.462830712303,163.2086692216201,151.97568389057753
45,4499.062387432994,170.008216217972,156.81354869060686
46,4499.062387432994,170.008216217972,156.81354869060686
47,5482.322340064485,130.29987151826634,172.11703958691916
48,5470.217289562966,85.72846204096962,177.68301350390897
49,5340.552731893265,0.0,181.5211472136504
50,6186.424858757063,0.0,161.42050040355127
51,6500.57718894009,0.0,164.58196181698483
52,6463.513513513512,0.0,167.8697330871244
53,6452.218713450292,0.0,167.08437761069342
54,6297.659063625451,0.0,171.49717029669011
55,5835.2605140186915,0.0,166.88918558077438
56,6136.135770234987,0.0,186.4975755315181
57,6208.378476420798,0.0,172.7414061150458
58,5879.672862453532,0.0,177.02248185519562
59,3909.4805728201222,173.07835430177596,102.11622903804792
60,4656.391357214763,151.28550260720064,151.68946923632535
61,2774.8343283582085,213.21961620469082,0.0
62,2769.6413690476184,212.58503401360537,0.0
63,4029.2994526315792,168.72951609793716,125.85309427414693
64,4509.257716258291,169.60297046935733,160.51364365971108
65,5277.770931012722,69.68211021320742,207.33982998133945
66,4739.969917679473,144.59640635783282,176.5848490199541
67,4208.209558313049,168.60443698869648,145.32771399505887
68,4464.359116349871,171.77882659557932,155.44846883258202
69,3663.3108948194663,189.72863870823048,95.98564700605522
70,4891.985507246376,0.0,172.53278122843344
71,4796.988962883998,102.49040093434189,171.39637670375816
72,4796.988962883998,102.49040093434189,171.39637670375816
73,4622.3487679409745,162.2884622938815,156.84061638648964
74,4622.3487679409745,162.2884622938815,156.84061638648964
75,4749.327231522068,150.55371629338487,165.0051475135235
76,5164.284960422163,0.0,188.46588767433093
77,5114.923693252577,131.46603924975773,177.90784659342197
78,5114.923693252577,131.46603924975773,177.90784659342197
79,4721.676812967652,140.2323330497704,160.84284885823803
80,5353.944694649613,73.77478103473416,180.14772113132767
81,5353.944694649613,73.77478103473416,180.14772113132767
82,4829.938621245442,144.39672414566905,159.6169193934557
83,5284.098339719029,0.0,182.4484583105273
84,4991.432829726418,88.95759202006637,180.83182640144665
85,4691.408961204543,147.44529345950025,173.46505112882397
86,4612.462830712303,163.2086692216201,151.97568389057753
87,4372.840160252655,176.16313503422413,151.45246903394855
88,3467.776822276096,182.15983803735568,66.88483621955758
89,3467.776822276096,182.15983803735568,66.88483621955758
90,5343.166368709279,135.99080763259857,175.50017550017557
91,5628.193749722737,116.02392822896306,173.79214459506437
92,5628.193749722737,116.02392822896306,173.79214459506437
93,5520.042973286875,0.0,165.92002654720423
94,6088.509135200976,0.0,174.00382808421787
95,6088.509135200976,0.0,174.00382808421787
96,6088.509135200976,0.0,174.00382808421787
97,6522.47435897436,0.0,166.50016650016653
98,6600.810126582278,0.0,164.39256945586058
99,6319.057174887892,0.0,160.15374759769378
